"ITTER107","Territorio","TIPO_DATO15","Tipo dato","SEXISTAT1","Sesso","CAUSEMORTE_SL","Causa iniziale di morte - European Short List","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2016","2016",24059,,
"IT","Italia","DEATH","morti","1","maschi","2_1_14","di cui tumori maligni della prostata","2016","2016",7540,,
"IT","Italia","DEATH","morti","1","maschi","7","malattie del sistema circolatorio","2016","2016",96728,,
"IT","Italia","DEATH","morti","1","maschi","7_1_2","du cui altre malattie ischemiche del cuore","2016","2016",21851,,
"IT","Italia","DEATH","morti","1","maschi","7_4","altre malattie del sistema circolatorio","2016","2016",17799,,
"IT","Italia","DEATH","morti","1","maschi","8_2","polmonite","2016","2016",5286,,
"IT","Italia","DEATH","morti","1","maschi","17_1_2","di cui cadute accidentali","2016","2016",2060,,
"IT","Italia","DEATH","morti","1","maschi","17_1_5","di cui altri accidenti","2016","2016",4945,,
"IT","Italia","DEATH","morti","1","maschi","2_1_4","di cui tumori maligni del colon, del retto e dell'ano","2016","2016",10652,,
"IT","Italia","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2016","2016",1424,,
"IT","Italia","DEATH","morti","1","maschi","2_1_10","di cui tumori maligni del seno","2016","2016",144,,
"IT","Italia","DEATH","morti","1","maschi","6","malattie del sistema nervoso e degli organi di senso","2016","2016",11954,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2016","2016",13018,,
"IT","Italia","DEATH","morti","1","maschi","7_3","malattie cerebrovascolari","2016","2016",22442,,
"IT","Italia","DEATH","morti","1","maschi","16","sintomi, segni, risultati anomali e cause mal definite","2016","2016",4863,,
"IT","Italia","DEATH","morti","1","maschi","17_1_1","di cui accidenti di trasporto","2016","2016",2854,,
"IT","Italia","DEATH","morti","1","maschi","2_1_16","di cui tumori maligni della vescica","2016","2016",4883,,
"IT","Italia","DEATH","morti","1","maschi","2_1_19","di cui morbo di hodgkin e linfomi","2016","2016",2931,,
"IT","Italia","DEATH","morti","1","maschi","2_1_22","di cui altri tumori maligni","2016","2016",10596,,
"IT","Italia","DEATH","morti","1","maschi","8_1","influenza","2016","2016",142,,
"IT","Italia","DEATH","morti","1","maschi","8_3_1","di cui asma","2016","2016",149,,
"IT","Italia","DEATH","morti","1","maschi","9","malattie dell'apparato digerente","2016","2016",11120,,
"IT","Italia","DEATH","morti","1","maschi","9_3","altre malattie dell'apparato digerente","2016","2016",7298,,
"IT","Italia","DEATH","morti","1","maschi","17_1_4","di cui avvelenamento accidentale","2016","2016",335,,
"IT","Italia","DEATH","morti","1","maschi","17_3","omicidio, aggressione","2016","2016",235,,
"IT","Italia","DEATH","morti","1","maschi","99","totale","2016","2016",297665,,
"IT","Italia","DEATH","morti","1","maschi","2_1_3","di cui tumori maligni dello stomaco","2016","2016",5458,,
"IT","Italia","DEATH","morti","1","maschi","2_1_6","di cui tumori maligni del pancreas","2016","2016",5834,,
"IT","Italia","DEATH","morti","1","maschi","2_1_9","di cui melanomi maligni della cute","2016","2016",1263,,
"IT","Italia","DEATH","morti","1","maschi","5_1","demenza","2016","2016",6245,,
"IT","Italia","DEATH","morti","1","maschi","5_4","altri disturbi psichici e comportamentali","2016","2016",605,,
"IT","Italia","DEATH","morti","1","maschi","7_1","malattie ischemiche del cuore","2016","2016",34869,,
"IT","Italia","DEATH","morti","1","maschi","12_2","altre malattie dell'apparato genitourinario","2016","2016",1180,,
"IT","Italia","DEATH","morti","1","maschi","15","malformazioni congenite ed anomalie cromosomiche","2016","2016",654,,
"IT","Italia","DEATH","morti","1","maschi","16_2","cause sconosciute e non specificate","2016","2016",1578,,
"IT","Italia","DEATH","morti","1","maschi","17_1","accidenti","2016","2016",10462,,
"IT","Italia","DEATH","morti","1","maschi","1_1","tubercolosi","2016","2016",177,,
"IT","Italia","DEATH","morti","1","maschi","1_4","altre malattie infettive e parassitarie","2016","2016",4091,,
"IT","Italia","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2016","2016",2228,,
