pos,desc_lis,img_lis,min,max_coll,voti,perc,area,circ_sto,cod_pr,data_prec_elez,desc_pr,dt_agg,dt_ele,ele_f,ele_m,ele_t,f_elet,fine_rip,l_terr,non_valid,perc_vot,prov_sto,reg_sto,sk_bianche,sk_contestate,sk_nulle,st,sz_perv,sz_tot,t_ele,tot_vot_lis,vot_f,vot_m,vot_t
5,LEGA SALVINI PREMIER,1-20190526000000-5.png,N,NA,119817,"30,29",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
12,PARTITO DEMOCRATICO,1-20190526000000-12.png,N,NA,109083,"27,58",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
8,MOVIMENTO 5 STELLE,1-20190526000000-8.png,N,NA,69360,"17,53",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
11,FORZA ITALIA,1-20190526000000-11.png,N,NA,28971,"7,32",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
7,FRATELLI D'ITALIA,1-20190526000000-7.png,N,NA,21004,"5,31",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,N,NA,13666,"3,45",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
16,EUROPA VERDE,1-20190526000000-16.png,N,NA,10618,"2,68",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
18,LA SINISTRA,1-20190526000000-18.png,N,NA,9431,"2,38",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
2,PARTITO COMUNISTA,1-20190526000000-2.png,N,NA,4924,"1,24",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
4,PARTITO ANIMALISTA,1-20190526000000-4.png,N,NA,2715,"0,69",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
6,POPOLARI PER L'ITALIA,1-20190526000000-6.png,N,NA,1485,"0,38",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
17,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,1-20190526000000-17.png,N,NA,1307,"0,33",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
3,PARTITO PIRATA,1-20190526000000-3.png,N,NA,1173,"0,30",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
10,CASAPOUND ITALIA - DESTRE UNITE,1-20190526000000-10.png,N,NA,1160,"0,29",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
14,FORZA NUOVA,1-20190526000000-14.png,N,NA,427,"0,11",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
13,AUTONOMIE PER L'EUROPA,1-20190526000000-13.png,S,12,417,"0,11",I,1,34,2.0140525e+13,GENOVA,20190527052331,2.0190526e+13,380350,338918,719268,SCRUTINI,S,PROVINCIA,NULL,"56,57",34,7,3613,34,7719,ESERCIZIO,966,966,Europee,395558,209926,196998,406924
5,LEGA SALVINI PREMIER,1-20190526000000-5.png,N,NA,39923,"40,06",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
12,PARTITO DEMOCRATICO,1-20190526000000-12.png,N,NA,17307,"17,37",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
8,MOVIMENTO 5 STELLE,1-20190526000000-8.png,N,NA,14743,"14,79",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
11,FORZA ITALIA,1-20190526000000-11.png,N,NA,9942,"9,98",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
7,FRATELLI D'ITALIA,1-20190526000000-7.png,N,NA,8094,"8,12",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,N,NA,2365,"2,37",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
16,EUROPA VERDE,1-20190526000000-16.png,N,NA,2255,"2,26",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
18,LA SINISTRA,1-20190526000000-18.png,N,NA,1565,"1,57",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
4,PARTITO ANIMALISTA,1-20190526000000-4.png,N,NA,919,"0,92",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
2,PARTITO COMUNISTA,1-20190526000000-2.png,N,NA,858,"0,86",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
17,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,1-20190526000000-17.png,N,NA,538,"0,54",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
10,CASAPOUND ITALIA - DESTRE UNITE,1-20190526000000-10.png,N,NA,391,"0,39",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
6,POPOLARI PER L'ITALIA,1-20190526000000-6.png,N,NA,265,"0,27",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
3,PARTITO PIRATA,1-20190526000000-3.png,N,NA,239,"0,24",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
14,FORZA NUOVA,1-20190526000000-14.png,N,NA,123,"0,12",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
13,AUTONOMIE PER L'EUROPA,1-20190526000000-13.png,S,12,123,"0,12",I,1,37,2.0140525e+13,IMPERIA,20190527054451,2.0190526e+13,89847,82207,172054,SCRUTINI,S,PROVINCIA,NULL,"60,39",37,7,1818,6,2427,ESERCIZIO,256,256,Europee,99650,53767,50134,103901
5,LEGA SALVINI PREMIER,1-20190526000000-5.png,N,NA,36462,"34,85",I,1,39,2.0140525e+13,LA SPEZIA,20190527052139,2.0190526e+13,95343,88280,183623,SCRUTINI,S,PROVINCIA,NULL,"58,73",39,7,1112,2,2098,ESERCIZIO,260,260,Europee,104630,54441,53401,107842
12,PARTITO DEMOCRATICO,1-20190526000000-12.png,N,NA,27570,"26,35",I,1,39,2.0140525e+13,LA SPEZIA,20190527052139,2.0190526e+13,95343,88280,183623,SCRUTINI,S,PROVINCIA,NULL,"58,73",39,7,1112,2,2098,ESERCIZIO,260,260,Europee,104630,54441,53401,107842
8,MOVIMENTO 5 STELLE,1-20190526000000-8.png,N,NA,16849,"16,10",I,1,39,2.0140525e+13,LA SPEZIA,20190527052139,2.0190526e+13,95343,88280,183623,SCRUTINI,S,PROVINCIA,NULL,"58,73",39,7,1112,2,2098,ESERCIZIO,260,260,Europee,104630,54441,53401,107842
