"ITTER107","Territorio","TIPO_DATO15","Tipo dato","SEXISTAT1","Sesso","CAUSEMORTE_SL","Causa iniziale di morte - European Short List","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2003","2003",25833,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2004","2004",25322,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2005","2005",25348,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2006","2006",25467,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2007","2007",25425,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2008","2008",25366,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2009","2009",25350,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2010","2010",25457,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2011","2011",25239,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2012","2012",24885,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2013","2013",24599,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2014","2014",24177,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2015","2015",24405,,
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2016","2016",24059,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2003","2003",19676,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2004","2004",18580,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2005","2005",18920,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2006","2006",18070,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2007","2007",17581,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2008","2008",17240,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2009","2009",16825,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2010","2010",16376,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2011","2011",15803,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2012","2012",15433,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2013","2013",14667,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2014","2014",14221,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2015","2015",14511,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2016","2016",13018,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2003","2003",999,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2004","2004",859,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2005","2005",808,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2006","2006",749,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2007","2007",816,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2008","2008",727,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2009","2009",702,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2010","2010",655,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2011","2011",641,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2012","2012",678,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2013","2013",600,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2014","2014",561,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2015","2015",536,,
"IT","Italia","DEATH","morti","1","maschi","1_2","aids (malattia da hiv)","2016","2016",348,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2003","2003",32264,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2004","2004",32067,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2005","2005",32184,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2006","2006",32677,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2007","2007",32934,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2008","2008",33109,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2009","2009",33394,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2010","2010",33734,,
"IT","Italia","DEATH","morti","9","totale","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2011","2011",33819,,
